Year,Region [Note 1],PES area,Credit: Average variable unit price (Ł/kWh)[Note 2],Credit: Average fixed cost (Ł/year)[Note 3],Direct debit: Average variable unit price (Ł/kWh)[Note 2],Direct debit: Average fixed cost (Ł/year)[Note 3],Prepayment: Average variable unit price (Ł/kWh)[Note 2],Prepayment: Average fixed cost (Ł/year)[Note 3],Overall: Average variable unit price (Ł/kWh)[Note 2],Overall: Average fixed cost (Ł/year)[Note 3],
2010,Aberdeen,Northern Scotland,0.12,61.64,0.11,49.32,0.13,23.80,0.12,48.79,
2010,Belfast,Northern Ireland,0.15,0.00,0.14,0.00,0.15,0.00,0.15,0.00,
2010,Birmingham,West Midlands,0.12,39.05,0.11,23.40,0.12,62.96,0.11,34.62,
2010,Canterbury,South East,0.11,53.37,0.11,39.21,0.11,58.16,0.11,45.49,
2010,Cardiff,South Wales,0.12,52.17,0.12,39.98,0.14,13.58,0.12,39.02,
2010,Edinburgh,Southern Scotland,0.12,61.13,0.11,39.88,0.12,60.21,0.12,49.83,
2010,Ipswich,Eastern,0.11,70.45,0.11,45.14,0.11,72.87,0.11,56.46,
2010,Leeds,Yorkshire,0.11,41.59,0.11,24.66,0.11,56.62,0.11,34.95,
2010,Liverpool,Merseyside & North Wales,0.12,63.45,0.11,39.46,0.12,62.53,0.11,51.26,
2010,London,London,0.11,58.66,0.11,38.30,0.11,65.64,0.11,52.44,
2010,Manchester,North West,0.11,61.03,0.10,33.56,0.11,67.90,0.11,47.72,
2010,Newcastle,North East,0.12,43.73,0.11,29.53,0.11,62.29,0.11,38.90,
2010,Nottingham,East Midlands,0.11,65.07,0.10,42.56,0.11,70.37,0.11,53.63,
2010,Plymouth,South West,0.12,50.09,0.11,33.48,0.12,54.80,0.12,41.63,
2010,Southampton,Southern,0.12,55.16,0.11,41.38,0.13,35.64,0.11,44.86,
2010,United Kingdom,United Kingdom,0.12,53.82,0.11,35.98,0.12,53.56,0.11,44.50,
2011,Aberdeen,Northern Scotland,0.12,71.29,0.12,59.72,0.14,31.41,0.12,58.22,
2011,Belfast,Northern Ireland,0.16,0.00,0.15,0.00,0.15,0.00,0.16,0.00,
2011,Birmingham,West Midlands,0.12,57.68,0.12,39.49,0.12,65.10,0.12,49.21,
2011,Canterbury,South East,0.12,65.12,0.11,53.10,0.12,64.94,0.12,57.78,
2011,Cardiff,South Wales,0.13,64.00,0.12,52.80,0.14,23.18,0.13,50.51,
2011,Edinburgh,Southern Scotland,0.12,80.38,0.12,58.30,0.12,76.66,0.12,67.81,
2011,Ipswich,Eastern,0.12,80.68,0.11,55.87,0.12,76.75,0.12,66.16,
2011,Leeds,Yorkshire,0.12,57.07,0.11,39.02,0.12,66.42,0.12,48.89,
2011,Liverpool,Merseyside & North Wales,0.13,84.64,0.12,60.04,0.12,87.24,0.12,72.67,
2011,London,London,0.12,63.88,0.12,46.71,0.12,64.37,0.12,57.12,
2011,Manchester,North West,0.12,74.81,0.12,48.91,0.12,78.53,0.12,61.57,
2011,Newcastle,North East,0.12,59.08,0.12,41.42,0.12,66.14,0.12,50.34,
2011,Nottingham,East Midlands,0.12,75.61,0.11,52.22,0.12,75.00,0.12,62.66,
2011,Plymouth,South West,0.13,62.96,0.12,49.10,0.13,64.87,0.13,55.30,
2011,Southampton,Southern,0.12,64.09,0.12,51.75,0.13,39.95,0.12,53.97,
2011,United Kingdom,United Kingdom,0.12,66.36,0.12,49.25,0.13,60.97,0.12,56.38,
2012,Aberdeen,Northern Scotland,0.13,83.78,0.13,64.04,0.14,44.67,0.13,65.98,
2012,Belfast,Northern Ireland,0.17,0.00,0.16,0.00,0.16,0.00,0.17,0.00,
2012,Birmingham,West Midlands,0.13,60.82,0.12,45.11,0.13,62.64,0.13,52.77,
2012,Canterbury,South East,0.13,68.99,0.12,56.82,0.13,62.85,0.12,60.86,
2012,Cardiff,South Wales,0.14,76.01,0.13,59.07,0.15,40.80,0.13,60.15,
2012,Edinburgh,Southern Scotland,0.13,87.63,0.12,61.87,0.13,79.85,0.12,71.99,
2012,Ipswich,Eastern,0.12,82.81,0.12,59.20,0.13,73.63,0.12,68.28,
2012,Leeds,Yorkshire,0.13,60.08,0.12,44.19,0.13,64.31,0.13,52.33,
2012,Liverpool,Merseyside & North Wales,0.13,94.14,0.13,66.55,0.13,91.93,0.13,79.34,
2012,London,London,0.13,65.72,0.12,50.00,0.13,61.44,0.13,58.43,
2012,Manchester,North West,0.13,79.82,0.12,56.32,0.13,75.92,0.12,66.53,
2012,Newcastle,North East,0.13,62.85,0.12,46.76,0.13,66.21,0.13,54.31,
2012,Nottingham,East Midlands,0.12,79.23,0.12,57.08,0.13,72.62,0.12,66.05,
2012,Plymouth,South West,0.14,67.86,0.13,55.55,0.14,64.39,0.13,60.18,
2012,Southampton,Southern,0.13,74.58,0.12,57.71,0.14,47.76,0.12,61.12,
2012,United Kingdom,United Kingdom,0.13,71.50,0.12,54.31,0.13,62.37,0.13,60.72,
2013,East Midlands,East Midlands,0.13,76.57,0.12,68.38,0.14,68.64,0.13,70.83,
2013,Eastern,Eastern,0.13,77.67,0.12,67.70,0.14,67.77,0.13,70.91,
2013,London,London,0.14,65.92,0.13,61.86,0.14,60.57,0.13,63.12,
2013,Merseyside & North Wales,Merseyside & North Wales,0.14,83.74,0.14,72.26,0.14,78.70,0.14,76.58,
2013,North East,North East,0.14,60.42,0.13,58.67,0.14,62.95,0.13,59.84,
2013,North Scotland,North Scotland,0.15,89.09,0.14,62.98,0.16,48.10,0.14,67.10,
2013,North West,North West,0.14,74.59,0.13,68.29,0.14,69.56,0.13,70.35,
2013,Northern Ireland,Northern Ireland,0.17,0.00,0.16,0.00,0.16,0.00,0.16,0.00,
2013,South East,South East,0.14,70.36,0.13,65.46,0.14,60.90,0.13,66.35,
2013,South Scotland,South Scotland,0.14,85.77,0.13,72.38,0.14,81.95,0.13,77.64,
2013,South Wales,South Wales,0.14,85.95,0.14,63.18,0.15,47.84,0.14,66.27,
2013,South West,South West,0.15,69.16,0.14,64.27,0.15,63.56,0.14,65.45,
2013,Southern,Southern,0.14,82.34,0.13,63.60,0.15,49.22,0.13,66.67,
2013,West Midlands,West Midlands,0.14,59.14,0.13,59.03,0.14,57.40,0.14,58.79,
2013,Yorkshire,Yorkshire,0.14,57.07,0.13,58.15,0.14,58.03,0.13,57.80,
2013,United Kingdom,United Kingdom,0.14,70.50,0.13,63.47,0.14,59.52,0.13,64.84,
2014,East Midlands,East Midlands,0.14,84.37,0.13,65.41,0.14,83.15,0.13,73.31,
2014,Eastern,Eastern,0.14,85.30,0.13,65.61,0.14,83.30,0.13,73.45,
2014,London,London,0.14,75.68,0.13,65.94,0.14,76.20,0.14,71.71,
2014,Merseyside & North Wales,Merseyside & North Wales,0.15,86.95,0.14,72.75,0.15,86.68,0.15,79.40,
2014,North East,North East,0.15,70.72,0.14,60.41,0.15,74.73,0.14,65.38,
2014,North Scotland,North Scotland,0.15,93.46,0.15,65.11,0.15,93.01,0.15,77.14,
2014,North West,North West,0.14,83.61,0.14,68.10,0.15,81.82,0.14,74.78,
2014,Northern Ireland,Northern Ireland,0.18,0.00,0.17,0.00,0.17,0.00,0.17,0.00,
2014,South East,South East,0.14,78.56,0.13,68.04,0.14,78.50,0.14,71.91,
2014,South Scotland,South Scotland,0.14,88.56,0.13,74.92,0.14,89.56,0.13,81.21,
2014,South Wales,South Wales,0.15,91.50,0.14,63.68,0.15,93.20,0.15,76.92,
2014,South West,South West,0.15,77.29,0.14,66.55,0.15,78.87,0.15,71.13,
2014,Southern,Southern,0.14,89.17,0.13,66.17,0.14,87.97,0.14,74.29,
2014,West Midlands,West Midlands,0.15,70.46,0.14,60.97,0.15,75.29,0.14,66.07,
2014,Yorkshire,Yorkshire,0.15,68.90,0.13,59.57,0.14,74.70,0.14,64.91,
2014,United Kingdom,United Kingdom,0.15,78.42,0.14,63.94,0.15,76.55,0.14,70.04,
2015,East Midlands,East Midlands,0.14,84.43,0.13,62.77,0.14,83.09,0.13,71.51,
2015,Eastern,Eastern,0.14,85.12,0.13,63.90,0.14,83.10,0.13,72.13,
2015,London,London,0.14,76.08,0.13,65.17,0.14,76.35,0.14,71.49,
2015,Merseyside & North Wales,Merseyside & North Wales,0.15,86.59,0.14,69.22,0.15,86.27,0.15,77.21,
2015,North East,North East,0.15,70.70,0.13,58.34,0.14,75.10,0.14,64.03,
2015,North Scotland,North Scotland,0.15,92.96,0.15,63.80,0.15,92.79,0.15,76.20,
2015,North West,North West,0.14,83.76,0.13,65.83,0.15,81.65,0.14,73.37,
2015,Northern Ireland,Northern Ireland,0.17,0.00,0.16,0.00,0.16,0.00,0.16,0.00,
2015,South East,South East,0.14,78.59,0.13,65.94,0.14,78.88,0.14,70.52,
2015,South Scotland,South Scotland,0.14,87.91,0.13,73.56,0.14,89.51,0.13,80.25,
2015,South Wales,South Wales,0.15,91.43,0.14,62.50,0.15,92.83,0.15,75.88,
2015,South West,South West,0.15,77.44,0.14,64.35,0.15,78.98,0.15,69.72,
2015,Southern,Southern,0.14,88.97,0.13,63.87,0.14,87.94,0.14,72.60,
2015,West Midlands,West Midlands,0.15,71.65,0.13,58.83,0.15,75.48,0.14,65.08,
2015,Yorkshire,Yorkshire,0.14,70.90,0.13,59.74,0.14,74.76,0.14,65.23,
2015,United Kingdom,United Kingdom,0.14,78.66,0.13,62.62,0.15,76.10,0.14,69.13,
2016,East Midlands,East Midlands,0.14,84.92,0.13,62.90,0.14,83.23,0.13,71.23,
2016,Eastern,Eastern,0.14,85.46,0.13,64.04,0.14,83.20,0.13,71.96,
2016,London,London,0.14,76.86,0.13,65.46,0.14,76.50,0.14,71.76,
2016,Merseyside & North Wales,Merseyside & North Wales,0.15,86.76,0.14,69.07,0.15,86.11,0.15,76.71,
2016,North East,North East,0.15,72.31,0.13,59.32,0.14,75.46,0.14,64.76,
2016,North Scotland,North Scotland,0.15,93.11,0.14,65.03,0.15,92.90,0.15,76.55,
2016,North West,North West,0.14,84.17,0.13,65.47,0.14,81.89,0.14,72.91,
2016,Northern Ireland,Northern Ireland,0.15,0.00,0.14,0.00,0.15,0.00,0.15,0.00,
2016,South East,South East,0.14,79.01,0.13,66.12,0.14,78.74,0.13,70.53,
2016,South Scotland,South Scotland,0.14,88.09,0.13,72.12,0.14,90.10,0.13,79.24,
2016,South Wales,South Wales,0.15,91.69,0.14,62.98,0.15,92.73,0.14,75.36,
2016,South West,South West,0.15,77.87,0.14,65.34,0.15,78.84,0.14,70.17,
2016,Southern,Southern,0.14,89.31,0.13,64.13,0.14,88.01,0.13,72.43,
2016,West Midlands,West Midlands,0.15,72.83,0.13,59.47,0.14,75.64,0.14,65.46,
2016,Yorkshire,Yorkshire,0.14,72.27,0.13,60.46,0.14,74.88,0.13,65.74,
2016,United Kingdom,United Kingdom,0.14,79.29,0.13,62.87,0.14,75.90,0.14,69.11,
2017,East Midlands,East Midlands,0.15,87.30,0.14,68.23,0.14,92.39,0.14,76.04,
2017,Eastern,Eastern,0.15,87.89,0.14,69.20,0.14,92.75,0.14,76.37,
2017,London,London,0.16,81.36,0.14,69.81,0.14,92.25,0.15,78.24,
2017,Merseyside & North Wales,Merseyside & North Wales,0.16,89.54,0.15,72.26,0.15,92.94,0.15,80.49,
2017,North East,North East,0.15,86.83,0.14,68.95,0.14,92.58,0.14,77.24,
2017,North Scotland,North Scotland,0.17,94.10,0.15,68.89,0.15,97.54,0.16,79.28,
2017,North West,North West,0.15,87.19,0.14,70.36,0.14,92.49,0.14,78.34,
2017,Northern Ireland,Northern Ireland,0.15,0.00,0.15,0.00,0.14,0.00,0.15,0.00,
2017,South East,South East,0.16,82.28,0.14,69.42,0.14,92.87,0.15,74.84,
2017,South Scotland,South Scotland,0.15,89.91,0.14,72.74,0.14,94.06,0.14,80.65,
2017,South Wales,South Wales,0.16,92.95,0.15,67.02,0.14,96.45,0.15,78.31,
2017,South West,South West,0.17,81.64,0.15,69.43,0.15,93.18,0.16,75.34,
2017,Southern,Southern,0.15,91.21,0.14,68.76,0.14,95.38,0.14,76.34,
2017,West Midlands,West Midlands,0.15,87.29,0.14,69.27,0.14,91.45,0.14,77.20,
2017,Yorkshire,Yorkshire,0.15,86.62,0.14,69.38,0.14,91.05,0.14,77.18,
2017,United Kingdom,United Kingdom,0.15,84.68,0.14,67.88,0.14,86.48,0.14,74.87,
  2018,East Midlands,East Midlands,0.16,104.03,0.15,74.91,0.14,107.16,0.15,85.65,
  2018,Eastern,Eastern,0.16,103.80,0.15,76.13,0.14,107.17,0.15,85.83,
  2018,London,London,0.17,98.10,0.15,78.40,0.14,107.26,0.15,90.48,
  2018,Merseyside & North Wales,Merseyside & North Wales,0.17,103.67,0.16,80.09,0.15,107.23,0.16,90.53,
  2018,North East,North East,0.16,103.58,0.15,76.67,0.14,107.43,0.15,87.48,
  2018,North Scotland,North Scotland,0.17,105.69,0.17,73.36,0.16,107.00,0.17,86.08,
  2018,North West,North West,0.16,104.42,0.15,77.24,0.14,107.23,0.15,88.37,
  2018,Northern Ireland,Northern Ireland,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,
  2018,South East,South East,0.17,98.00,0.16,76.59,0.15,107.44,0.16,84.27,
  2018,South Scotland,South Scotland,0.16,104.13,0.15,80.74,0.14,107.49,0.15,90.82,
  2018,South Wales,South Wales,0.17,105.03,0.16,73.24,0.15,107.29,0.16,86.20,
  2018,South West,South West,0.18,97.60,0.16,76.93,0.15,107.30,0.17,85.10,
  2018,Southern,Southern,0.17,104.70,0.15,74.83,0.14,107.17,0.15,84.03,
  2018,West Midlands,West Midlands,0.16,104.08,0.15,76.82,0.14,107.21,0.15,87.64,
  2018,Yorkshire,Yorkshire,0.16,104.48,0.15,76.49,0.14,107.28,0.15,87.83,
  2018,United Kingdom,United Kingdom,0.17,100.20,0.15,74.73,0.14,100.71,0.15,84.43,
  2019,East Midlands,East Midlands,0.18,94.61,0.16,79.93,0.16,109.65,0.17,86.60,
  2019,Eastern,Eastern,0.18,100.52,0.17,84.36,0.16,111.36,0.17,90.37,
  2019,London,London,0.18,97.16,0.17,81.90,0.16,110.51,0.17,91.81,
  2019,Merseyside & North Wales,Merseyside & North Wales,0.19,95.66,0.18,81.35,0.17,110.20,0.18,89.52,
  2019,North East,North East,0.18,102.91,0.16,85.93,0.16,111.96,0.17,93.12,
  2019,North Scotland,North Scotland,0.19,110.25,0.17,89.40,0.17,113.32,0.18,97.39,
  2019,North West,North West,0.18,95.56,0.17,81.07,0.16,110.12,0.17,88.62,
  2019,Northern Ireland,Northern Ireland,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,
  2019,South East,South East,0.19,99.06,0.17,83.26,0.17,110.97,0.17,88.89,
  2019,South Scotland,South Scotland,0.18,99.52,0.17,84.53,0.16,111.34,0.17,92.29,
  2019,South Wales,South Wales,0.19,100.01,0.17,81.54,0.17,110.78,0.17,90.14,
  2019,South West,South West,0.19,101.58,0.17,84.50,0.17,111.37,0.18,90.79,
  2019,Southern,Southern,0.18,94.83,0.17,79.38,0.16,109.60,0.17,85.21,
  2019,West Midlands,West Midlands,0.18,98.70,0.17,82.82,0.16,110.73,0.17,90.12,
  2019,Yorkshire,Yorkshire,0.18,103.65,0.16,85.33,0.16,112.23,0.16,93.18,
  2019,United Kingdom,United Kingdom,0.18,96.15,0.17,80.80,0.17,104.35,0.17,87.32,
  2020,East Midlands,East Midlands,0.18,95.92,0.16,77.55,0.17,97.97,0.17,83.44,
  2020,Eastern,Eastern,0.18,102.62,0.17,83.77,0.17,104.12,0.17,89.50,
  2020,London,London,0.18,99.97,0.17,81.86,0.17,101.05,0.17,90.40,
  2020,Merseyside & North Wales,Merseyside & North Wales,0.20,96.07,0.18,78.47,0.18,98.18,0.18,85.09,
  2020,North East,North East,0.18,108.73,0.16,87.65,0.17,109.56,0.17,94.63,
  2020,North Scotland,North Scotland,0.19,112.92,0.17,91.76,0.17,111.96,0.18,98.83,
  2020,North West,North West,0.18,97.08,0.17,79.19,0.17,100.78,0.17,85.94,
  2020,Northern Ireland,Northern Ireland,0.18,0.00,0.18,0.00,0.19,0.00,0.18,0.00,
  2020,South East,South East,0.19,103.09,0.17,83.66,0.18,103.49,0.18,89.02,
  2020,South Scotland,South Scotland,0.18,100.61,0.17,83.68,0.17,102.87,0.17,90.20,
  2020,South Wales,South Wales,0.19,102.84,0.17,81.14,0.18,102.03,0.18,88.55,
  2020,South West,South West,0.19,103.24,0.18,83.43,0.18,104.21,0.18,89.20,
  2020,Southern,Southern,0.18,98.88,0.17,79.36,0.17,98.27,0.17,84.52,
  2020,West Midlands,West Midlands,0.18,101.69,0.17,82.15,0.17,103.08,0.17,88.88,
  2020,Yorkshire,Yorkshire,0.18,109.50,0.16,89.29,0.17,110.31,0.17,96.65,
  2020,United Kingdom,United Kingdom,0.18,98.79,0.17,80.82,0.17,100.71,0.17,87.03,
  2021,East Midlands,East Midlands,0.20,98.44,0.18,81.38,0.19,101.01,0.18,86.52,
  2021,Eastern,Eastern,0.20,101.36,0.19,84.70,0.19,103.22,0.19,89.27,
  2021,London,London,0.20,98.80,0.19,82.66,0.19,100.68,0.19,90.19,
  2021,Merseyside & North Wales,Merseyside & North Wales,0.21,97.92,0.20,80.90,0.20,100.11,0.20,87.02,
  2021,North East,North East,0.19,109.30,0.18,92.72,0.18,111.38,0.18,98.23,
  2021,North Scotland,North Scotland,0.20,114.25,0.19,96.03,0.19,114.35,0.19,102.06,
  2021,North West,North West,0.20,100.48,0.18,83.07,0.18,103.24,0.18,89.14,
  2021,Northern Ireland,Northern Ireland,0.20,0.00,0.19,0.00,0.19,0.00,0.19,0.00,
  2021,South East,South East,0.21,101.57,0.19,83.99,0.20,103.15,0.20,88.64,
  2021,South Scotland,South Scotland,0.20,102.69,0.18,87.24,0.19,104.97,0.19,93.00,
  2021,South Wales,South Wales,0.21,105.01,0.19,84.95,0.19,104.99,0.19,91.57,
  2021,South West,South West,0.21,105.15,0.19,87.46,0.20,107.60,0.20,92.48,
  2021,Southern,Southern,0.20,100.95,0.19,82.91,0.19,102.15,0.19,87.57,
  2021,West Midlands,West Midlands,0.20,103.81,0.18,86.72,0.19,106.01,0.19,92.20,
  2021,Yorkshire,Yorkshire,0.19,110.67,0.18,92.56,0.18,112.66,0.18,98.72,
  2021,United Kingdom,United Kingdom,0.20,99.39,0.19,83.87,0.19,98.43,0.19,88.57,
  2022,East Midlands,East Midlands,0.29,159.64,0.28,141.48,0.27,156.39,0.28,146.40,
  2022,Eastern,Eastern,0.31,143.93,0.29,125.99,0.28,141.31,0.29,130.74,
  2022,London,London,0.31,127.81,0.29,110.24,0.29,128.22,0.30,118.26,
  2022,Merseyside & North Wales,Merseyside & North Wales,0.32,168.25,0.30,147.70,0.30,164.82,0.30,154.18,
  2022,North East,North East,0.29,171.18,0.27,151.49,0.26,164.39,0.27,156.72,
  2022,North Scotland,North Scotland,0.28,177.21,0.27,155.95,0.24,167.45,0.27,161.10,
  2022,North West,North West,0.30,154.31,0.28,136.65,0.28,150.32,0.28,141.91,
  2022,Northern Ireland,Northern Ireland,0.25,0.00,0.23,0.00,0.26,0.00,0.24,0.00,
  2022,South East,South East,0.31,151.92,0.29,133.14,0.28,147.52,0.29,137.69,
  2022,South Scotland,South Scotland,0.30,173.60,0.28,150.33,0.27,169.70,0.28,157.73,
  2022,South Wales,South Wales,0.29,170.74,0.28,151.47,0.24,160.39,0.28,155.93,
  2022,South West,South West,0.30,178.75,0.28,157.93,0.27,175.59,0.29,163.25,
  2022,Southern,Southern,0.29,159.51,0.28,139.18,0.26,152.66,0.28,143.55,
  2022,West Midlands,West Midlands,0.30,169.68,0.28,150.65,0.27,166.37,0.28,156.23,
  2022,Yorkshire,Yorkshire,0.29,171.46,0.27,155.85,0.26,162.79,0.27,160.56,
  2022,United Kingdom,United Kingdom,0.30,153.85,0.28,137.58,0.27,145.58,0.28,141.60,
2023 r,East Midlands,East Midlands ,0.29,197.43,0.29,177.34,0.29,194.85,0.29,182.69,
2022 r,Eastern,Eastern ,0.31,175.52,0.31,156.56,0.31,173.24,0.31,161.47,
2022 r,London,London ,0.34,156.94,0.32,137.02,0.31,151.98,0.32,144.99,
2022 r,Merseyside & North Wales,Merseyside & North Wales ,0.33,232.34,0.32,205.99,0.31,228.51,0.32,214.27,
2023 r,North East,North East ,0.29,219.01,0.29,198.99,0.29,217.34,0.29,205.09,
2023 r,North Scotland,North Scotland ,0.32,228.08,0.30,201.81,0.27,211.44,0.30,207.27,
2023 r,North West,North West ,0.30,200.41,0.29,178.54,0.30,197.82,0.30,185.30,
2023 r,Northern Ireland,Northern Ireland ,0.29,0.00,0.32,0.00,0.30,0.00,0.31,0.00,
2023 r,South East,South East ,0.33,186.96,0.31,164.31,0.31,182.41,0.32,169.72,
2023 r,South Scotland,South Scotland ,0.34,234.25,0.31,207.19,0.30,229.01,0.31,215.53,
2023 r,South Wales,South Wales ,0.32,211.46,0.31,186.93,0.28,199.67,0.30,192.61,
2023 r,South West,South West ,0.32,226.70,0.30,200.80,0.29,220.51,0.30,207.00,
2023 r,Southern,Southern ,0.33,198.02,0.31,173.92,0.29,187.96,0.31,178.73,
2023 r,West Midlands,West Midlands ,0.30,211.52,0.30,190.44,0.29,208.07,0.30,196.49,
2023 r,Yorkshire,Yorkshire ,0.29,214.25,0.29,194.55,0.29,212.36,0.29,200.70,
2023 r,United Kingdom,United Kingdom ,0.31,194.18,0.30,176.16,0.30,185.72,0.30,180.57,
2024 r,East Midlands,East Midlands,0.26,218.21,0.25,200.84,0.24,203.02,0.25,203.65,
2024 r,Eastern,Eastern,0.27,196.22,0.26,177.54,0.25,180.94,0.26,180.84,
2024 r,London,London,0.28,162.64,0.27,149.46,0.26,150.64,0.27,152.78,
2024 r,Merseyside & North Wales,Merseyside & North Wales,0.27,260.24,0.27,239.29,0.25,242.96,0.26,242.96,
2024 r,North East,North East,0.25,267.56,0.25,245.50,0.23,250.50,0.25,249.40,
2024 r,North Scotland,North Scotland,0.27,242.58,0.26,219.11,0.25,224.14,0.26,223.36,
2024 r,North West,North West,0.26,205.28,0.26,187.60,0.25,191.78,0.26,190.98,
2024 r,Northern Ireland,Northern Ireland,0.31,0.00,0.32,0.00,0.30,0.00,0.31,0.00,
2024 r,South East,South East,0.27,216.96,0.26,194.58,0.25,202.65,0.26,198.68,
2024 r,South Scotland,South Scotland,0.26,249.91,0.25,227.44,0.24,232.68,0.25,231.86,
2024 r,South Wales,South Wales,0.26,243.03,0.26,219.80,0.24,225.73,0.26,224.01,
2024 r,South West,South West,0.26,255.64,0.25,232.83,0.24,240.34,0.25,236.81,
2024 r,Southern,Southern,0.27,241.41,0.26,215.19,0.25,222.39,0.26,219.48,
2024 r,West Midlands,West Midlands,0.26,241.71,0.25,220.35,0.24,224.91,0.25,224.24,
2024 r,Yorkshire,Yorkshire,0.25,255.40,0.25,233.64,0.23,238.69,0.25,237.83,
2024 r,United Kingdom,United Kingdom,0.27,218.73,0.26,202.95,0.25,200.57,0.26,205.11,
2025,East Midlands,East Midlands,0.26,205.59,0.25,186.71,0.25,185.17,0.25,189.32,
2025,Eastern,Eastern,0.27,198.05,0.26,176.26,0.26,177.33,0.26,179.84,
2025,London,London,0.27,178.55,0.26,157.88,0.25,162.15,0.26,163.78,
2025,Merseyside & North Wales,Merseyside & North Wales,0.28,272.70,0.27,247.10,0.27,253.69,0.27,251.84,
2025,North East,North East,0.26,250.09,0.24,232.08,0.24,228.27,0.25,234.17,
2025,North Scotland,North Scotland,0.27,244.33,0.26,218.54,0.25,221.29,0.26,222.82,
2025,North West,North West,0.28,204.46,0.26,184.50,0.26,186.40,0.26,187.87,
2025,Northern Ireland,Northern Ireland,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,
2025,South East,South East,0.27,202.19,0.26,182.56,0.26,181.14,0.26,185.59,
2025,South Scotland,South Scotland,0.26,232.77,0.25,213.77,0.25,214.66,0.25,216.88,
2025,South Wales,South Wales,0.27,220.37,0.26,200.10,0.26,198.16,0.26,202.76,
2025,South West,South West,0.27,228.91,0.25,209.29,0.25,208.59,0.26,212.14,
2025,Southern,Southern,0.27,204.02,0.25,185.55,0.25,180.21,0.26,187.68,
2025,West Midlands,West Midlands,0.26,223.28,0.25,205.11,0.25,201.54,0.25,207.44,
2025,Yorkshire,Yorkshire,0.26,242.76,0.25,223.16,0.24,221.08,0.25,226.01,
2025,United Kingdom,United Kingdom,0.27,209.18,0.26,191.97,0.26,185.95,0.26,193.98,
